feature_id,log2_fold_change,average_expression,moderated_t,p_value,fdr_bh,B,direction_robust,log2_fold_change_leave_out_EC,log2_fold_change_leave_out_FC,log2_fold_change_leave_out_TC,entrez_id,mapping_status
2318807,-0.0148146562578662,4.2117603286385,-0.058161409956817,0.953676327847989,0.988294239748686,-5.76161901539253,False,0.0306642251106135,-0.31799556904646,0.242887375162253,,unmapped_entrez
2318809,-0.0852748370944632,4.17722107981221,-0.436722809148119,0.662768903851121,0.887586563872682,-5.67663960731328,True,-0.0549024435622312,-0.00482448669660318,-0.196097581024552,,unmapped_entrez
2318811,-0.0732009133467884,4.21574126760563,-0.292232161021818,0.770402656359623,0.92917350610026,-5.72440568765801,False,0.100064464611272,-0.252907485686611,-0.06675971896503,,unmapped_entrez
2318813,0.144671387934578,5.81640943661972,0.652648567350722,0.514709099098317,0.823173132904514,-5.57006172612215,True,0.170666646790282,0.0598026504026095,0.203544866610844,,unmapped_entrez
2318815,0.00104636368188427,7.08854643192488,0.00738114318480305,0.994117882097839,0.998177004506724,-5.76312948509799,False,0.0297790495875745,0.0557952106540993,-0.082435169196037,,unmapped_entrez
2318817,-0.0388870208708436,12.3127300469484,-0.38924973832347,0.697492376450482,0.902504538125422,-5.6944192077953,True,-0.0163679888453903,-0.071345796687357,-0.0289472770797765,,unmapped_entrez
2318819,0.407294622822615,3.72513183098592,1.51154483323047,0.132179207846663,0.600354455513808,-4.73249498783313,True,0.259545913132492,0.438128527812953,0.524209427522403,,unmapped_entrez
2318821,-0.290631258862986,8.07079136150235,-1.70969529341025,0.0888250771531025,0.553115969480631,-4.4467740855388,True,-0.233040340140168,-0.341018782713314,-0.297834653735483,,unmapped_entrez
2318823,0.299301795512955,9.0959482629108,1.58872000444498,0.11365423371218,0.582062481763661,-4.62528006926966,True,0.276051886015743,0.277795803534422,0.34405769698869,,unmapped_entrez
2318825,0.0513438034227294,3.71163704225352,0.185751721305078,0.85282188412621,0.957666576332642,-5.74749667032941,False,0.0430414789074738,0.166638956684787,-0.055649025324076,,unmapped_entrez
2318827,0.157636169013711,2.32303892018779,0.634107596687395,0.526712737906359,0.82911206994614,-5.58086540980046,True,0.108975146909242,0.0454921039090781,0.318441256222814,,unmapped_entrez
2318829,-0.0147858422007054,4.05537910798122,-0.0697063907451269,0.944494842515645,0.985501519739359,-5.76094906514566,False,-0.110093873154797,0.0584609638541536,0.00727538269852612,,unmapped_entrez
2318831,-0.113768400009275,6.1353541314554,-0.681071200831379,0.496589817126744,0.81527351532808,-5.55289842149446,True,-0.14543091587001,-0.087151616876052,-0.108722667281764,,unmapped_entrez
2318833,0.157052183999369,8.58655723004695,1.4746213390752,0.141836773105952,0.607698422854701,-4.78194748635888,True,0.16201637299516,0.234158136197571,0.0749820428053791,,unmapped_entrez
2318835,0.212519389363097,9.44745600938967,1.82804618555503,0.0689852440097017,0.517684977793697,-4.25986682005764,True,0.171632300564337,0.207715873913855,0.258209993611109,,unmapped_entrez
2318837,0.141149325701051,2.59999208920188,0.405408719311518,0.68559700954142,0.896700690905798,-5.6885962111196,False,-0.110713046791663,0.401613922514509,0.132547101380306,,unmapped_entrez
2318839,-0.208682687985666,2.11453131455399,-0.995766165326522,0.320529715024918,0.729919663521715,-5.31433595593697,True,-0.160519712410568,-0.325623877313637,-0.13990447423279,,unmapped_entrez
2318841,0.0526266665077877,7.1693220657277,0.331971387679044,0.740247725230787,0.91884238371699,-5.71315400029708,False,0.0545733194102249,0.114939773204028,-0.0116330930908983,,unmapped_entrez
2318843,0.0879838516450429,2.62385943661972,0.362203870134395,0.717570260502739,0.911721426205639,-5.70363563995379,True,0.0888953447207288,0.0123876715683524,0.162668538646049,,unmapped_entrez
2318845,-0.143104909092267,8.6367103286385,-1.11599879762507,0.265719874292982,0.699567263930082,-5.19978725908193,True,-0.150247112523276,-0.0667735450773694,-0.212294069676163,,unmapped_entrez
2318847,-0.233318759762551,4.69222751173709,-0.893536479860541,0.372610606820431,0.757026040498173,-5.40157584356357,True,-0.0933197010661528,-0.351567675274497,-0.255068902947007,,unmapped_entrez
2318849,0.14304745754433,4.42773431924883,0.639245225526089,0.523372213604811,0.827002934705902,-5.57790279929152,True,0.0323775576195064,0.137135190000754,0.259629625012728,,unmapped_entrez
2318851,0.184409623752797,11.4669765258216,1.75768717272928,0.0802819304566375,0.537925592475205,-4.37243827364865,True,0.131264728556275,0.211124202060486,0.210839940641627,,unmapped_entrez
2318853,0.124434004699431,11.5705356807512,1.60001842674101,0.111122753162632,0.579515504634249,-4.60914575703165,True,0.143898540945804,0.140680217188905,0.0887232559635844,,unmapped_entrez
2318855,0.157174694448334,6.93472281690141,1.00916591589525,0.314076649469655,0.726884165336168,-5.30220820945017,True,0.208118592547812,0.151215158019165,0.112190332778025,,unmapped_entrez
2318857,0.0191711464823463,6.65118723004695,0.140497590732642,0.888403852818357,0.968562217204234,-5.75419618392814,False,0.0113146936880959,0.110937425142902,-0.0647386793839635,,unmapped_entrez
2318859,-0.272856322941022,6.09011455399061,-1.71135832215856,0.0885172074752161,0.552410619148563,-4.44423165493682,True,-0.230266474866807,-0.314404553991239,-0.27389793996502,,unmapped_entrez
2318861,-0.0645453546743342,7.18695295774648,-0.333953085947106,0.738754010788484,0.91816569912283,-5.7125554448492,False,-0.156354250609912,0.107773329589937,-0.14505514300303,,unmapped_entrez
2318863,0.087972798887487,4.14337131455399,0.345038823260299,0.730416535539048,0.915677627990024,-5.70914146571443,False,0.193789963401067,0.128585256849545,-0.0584568235881511,,unmapped_entrez
2318865,0.103774651924501,5.63791234741784,0.540287519996742,0.589581264147462,0.857944810600938,-5.63077770716278,True,0.0885449343667268,0.117747258629104,0.105031762777668,,unmapped_entrez
2318867,-0.283930721612045,5.51924281690141,-1.43664761521864,0.152332179197416,0.620248636836697,-4.83156125675872,True,-0.423320259798468,-0.109507569952278,-0.318964335085387,,unmapped_entrez
2318869,0.238691774814743,4.01599572769953,0.875173289074284,0.382496895952147,0.761913047674452,-5.41625498248816,True,0.181339869328959,0.464071162908737,0.0706642922065361,,unmapped_entrez
