population,outcome,tau_suvr,spline_mean,spline_ci95_lower,spline_ci95_upper,linear_mean,linear_ci95_lower,linear_ci95_upper,interpretation
all_eligible,hippocampus_icv,1.1112,0.005216085624008817,0.005064792486269373,0.005367378761748262,0.0050886504112236264,0.004984321685694724,0.005192979136752529,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.9380119999999987,0.004327189303534165,0.004156932728920189,0.004497445878148141,0.004440664601132819,0.004316125985186846,0.004565203217078793,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.9501709999999988,0.004322140667991423,0.0041524927391827235,0.004491788596800122,0.004431135398043249,0.0043045599340689475,0.00455771086201755,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.9623299999999988,0.004317290628823474,0.004148283944973364,0.004486297312673583,0.004421606194953678,0.004292976170320775,0.004550236219586581,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.9744889999999988,0.00431263605338569,0.0041442887703415565,0.004480983336429823,0.004412076991864107,0.004281375529240335,0.0045427784544878795,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.9866479999999989,0.004308173809033455,0.004140488887106193,0.004475858730960717,0.004402547788774537,0.004269758800657653,0.00453533677689142,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,1.998806999999999,0.004303900763122145,0.0041368652338531365,0.004470936292391153,0.004393018585684966,0.004258126731459447,0.004527910439910485,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.010965999999999,0.00429981378300714,0.004133398049053501,0.004466229516960778,0.004383489382595395,0.004246480028002826,0.004520498737187965,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.0231249999999985,0.004295909736043815,0.0041300669210626705,0.004461752551024959,0.004373960179505825,0.004234819358416086,0.004513101000595564,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.035283999999999,0.00429218548958755,0.0041268508576761485,0.004457520121498951,0.004364430976416254,0.004223145354786304,0.0045057165980462045,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.0474429999999986,0.0042886379109937246,0.0041237283776387424,0.004453547444348707,0.0043549017733266835,0.004211458615234787,0.00449834493141858,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.0596019999999986,0.004285263867617716,0.004120677625980003,0.0044498501092554285,0.004345372570237113,0.004199759705882439,0.0044909854345917865,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.0717609999999986,0.004282060226814902,0.004117676514242218,0.0044464439393875855,0.004335843367147542,0.004188049162707892,0.004483637571587192,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.0839199999999987,0.004279023855940661,0.004114702885558925,0.004443344826322397,0.004326314164057972,0.004176327493301848,0.004476300834814095,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.0960789999999987,0.004276151622350373,0.004111734703144509,0.004440568541556237,0.004316784960968401,0.004164595178521472,0.00446897474341533,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.1082379999999987,0.004273440393399415,0.0041087502591240195,0.004438130527674811,0.00430725575787883,0.004152852674049,0.0044616588417086605,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.1203969999999988,0.0042708870364431654,0.00410572839887074,0.004436045674015591,0.004297726554789258,0.004141100411858839,0.004454352697719677,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.1325559999999983,0.004268488418837004,0.004102648754280267,0.004434328083393741,0.004288197351699689,0.004129338801597595,0.004447055901801783,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.144714999999999,0.004266241407936306,0.00409949197788494,0.004432990837987672,0.004278668148610117,0.0041175682318814015,0.004439768065338832,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.1568739999999984,0.004264142871096452,0.004096239968609318,0.004432045773583586,0.004269138945520548,0.004105789071514967,0.0044324888195261284,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.169032999999999,0.00426218967567282,0.004092876079478296,0.0044315032718673444,0.004259609742430975,0.004094001670636572,0.0044252178142253785,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.1811919999999985,0.004260378689020789,0.0040893852978551755,0.004431372080186402,0.0042500805393414064,0.004082206361793276,0.004417954716889537,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.1933509999999985,0.004258706778495736,0.004085754389862488,0.0044316591671289835,0.004240551336251834,0.00407040346095025,0.004410699211553418,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.2055099999999985,0.0042571708114530395,0.004081972002471853,0.004432369620434226,0.004231022133162263,0.004058593268438268,0.004403450997886259,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.2176689999999986,0.004255767655248079,0.004078028719179763,0.0044335065913163945,0.004221492930072693,0.004046776069842923,0.004396209790302462,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.2298279999999986,0.004254494177236231,0.004073917067964433,0.004435071286508029,0.004211963726983122,0.004034952136839222,0.004388975317127022,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.241986999999998,0.004253347244772876,0.004069631483046015,0.004437063006499736,0.0042024345238935515,0.0040231217279748654,0.0043817473198122375,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.2541459999999987,0.00425232372521339,0.0040651682245502535,0.004439479225876526,0.004192905320803981,0.004011285089405436,0.004374525552202526,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.2663049999999982,0.004251420485913154,0.004060525262254699,0.0044423157095716094,0.00418337611771441,0.003999442455584483,0.004367309779844337,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.2784639999999987,0.004250634394227544,0.004055702131012129,0.00444556665744296,0.0041738469146248396,0.003987594049911376,0.004360099779338303,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,hippocampus_icv,2.2906229999999983,0.00424996231751194,0.00405069976613455,0.004449224868889329,0.004164317711535269,0.003975740085339587,0.004352895337730951,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
