population,outcome,tau_suvr,reference_tau,full_mean,full_mean_ci95_lower,full_mean_ci95_upper,full_contrast_to_reference,full_contrast_to_reference_ci95_lower,full_contrast_to_reference_ci95_upper,retained_mean,retained_mean_ci95_lower,retained_mean_ci95_upper,retained_contrast_to_reference,retained_contrast_to_reference_ci95_lower,retained_contrast_to_reference_ci95_upper,retained_minus_full_mean,retained_minus_full_shape
all_eligible,hippocampus_icv,1.335226,1.341,0.004887235644914242,0.004772233279129702,0.005002238010698782,8.265981429599983e-06,5.2812326884215305e-06,1.1250730170778435e-05,0.0048871595417972575,0.0047819809904604965,0.0049923380931340185,7.3086411835035795e-06,4.417964822949562e-06,1.0199317544057597e-05,-7.610311698446476e-08,-9.573402460964032e-07
all_eligible,hippocampus_icv,1.3454089999999999,1.341,0.004872676193731766,0.00475863486308406,0.004986717524379472,-6.29346975287649e-06,-8.624861534478704e-06,-3.962077971274276e-06,0.004874306646609962,0.004770031537552579,0.004978581755667345,-5.544254003792437e-06,-7.800561295345667e-06,-3.287946712239208e-06,1.6304528781957428e-06,7.492157490840526e-07
all_eligible,hippocampus_icv,1.355592,1.341,0.004858206119913307,0.004745316323908296,0.004971095915918318,-2.0763543571334975e-05,-2.865999872879724e-05,-1.286708841387271e-05,0.0048616222369704774,0.004758407120824987,0.004964837353115968,-1.8228663643276877e-05,-2.5864356618501224e-05,-1.059297066805253e-05,3.4161170571703897e-06,2.5348799280580973e-06
all_eligible,hippocampus_icv,1.365775,1.341,0.004843834642105991,0.004732216641232476,0.0049554526429795055,-3.513502137865123e-05,-4.885312616145857e-05,-2.1416916595843896e-05,0.004849105192618738,0.00474703828111415,0.0049511721041233265,-3.074570799501683e-05,-4.3998328508374056e-05,-1.749308748165961e-05,5.270550512747295e-06,4.389313383634399e-06
all_eligible,hippocampus_icv,1.3759579999999998,1.341,0.004829570978956941,0.004719270891039485,0.004939871066874397,-4.93986845277015e-05,-6.919088804007567e-05,-2.9606481015327325e-05,0.004836754393294675,0.004735852112030165,0.004937656674559185,-4.30965073190799e-05,-6.219783445498649e-05,-2.3995180183173313e-05,7.183414337734277e-06,6.302177208621598e-06
all_eligible,hippocampus_icv,1.3861409999999998,1.341,0.0048154243491132795,0.00470641219128083,0.004924436506945729,-6.354531437136245e-05,-8.965029729923114e-05,-3.744033144349377e-05,0.0048245687187382195,0.004724774394607938,0.0049243630428685015,-5.5282181875533965e-05,-8.044932668108033e-05,-3.0115037069987598e-05,9.144369624940023e-06,8.26313249582849e-06
all_eligible,hippocampus_icv,1.396324,1.341,0.004801403971222131,0.004693573991686888,0.004909233950757373,-7.756569226251036e-05,-0.00011020058778474599,-4.4930796740274726e-05,0.004812547048689307,0.004713732094342162,0.004911362003036453,-6.730385192444663e-05,-9.873205413577865e-05,-3.58756497131146e-05,1.1143077467176687e-05,1.0261840338063731e-05
all_eligible,hippocampus_icv,1.406507,1.341,0.00478751906393062,0.004680692757531978,0.004894345370329262,-9.14505995540213e-05,-0.0001308047526575166,-5.209644645052599e-05,0.0048006882628878695,0.0047026562378856464,0.0048987202878900925,-7.916263772588525e-05,-0.00011701947604743097,-4.130579940433955e-05,1.3169198957249488e-05,1.2287961828136044e-05
all_eligible,hippocampus_icv,1.41669,1.341,0.004773778845885869,0.00466771100024887,0.004879846691522869,-0.0001051908175987717,-0.00015142079988424856,-5.896083531329485e-05,0.004788991241073837,0.004691485072840213,0.004886497409307462,-9.085965953991765e-05,-0.00013528041688182994,-4.643890219800537e-05,1.5212395187967978e-05,1.4331158058854046e-05
all_eligible,hippocampus_icv,1.4268729999999998,1.341,0.004760192535735004,0.004654580487545571,0.004865804583924437,-0.0001187771277496375,-0.0001720027662235878,-6.555148927568722e-05,0.004777454862987143,0.004680167284473112,0.004874742441501175,-0.00010239603762661107,-0.0001534800010340143,-5.131207421920785e-05,1.726232725213911e-05,1.6381090123026437e-05
all_eligible,hippocampus_icv,1.437056,1.341,0.004746769352125146,0.0046412653452588245,0.004852273358991468,-0.00013220031135949566,-0.0001925015321187978,-7.189909060019352e-05,0.004766078008367721,0.004668664930652833,0.00486349108608261,-0.0001137728922460336,-0.00017158040600279,-5.596537848927721e-05,1.9308656242575037e-05,1.8427419113462053e-05
all_eligible,hippocampus_icv,1.447239,1.341,0.004733518513703419,0.004627744681037548,0.00483929234636929,-0.0001454511497812222,-0.0002128654762777023,-7.803682328474212e-05,0.004754859556955501,0.004656955705102201,0.004852763408808801,-0.00012499134365825276,-0.0001895414693330984,-6.044121798340712e-05,2.1341043252081845e-05,2.0459806122969445e-05
all_eligible,hippocampus_icv,1.4574219999999998,1.341,0.004720449239116948,0.004614014356659081,0.004826884121574815,-0.00015852042436769305,-0.00023304100334997087,-8.399984538541522e-05,0.004743798388490419,0.004645034185276163,0.004842562591704676,-0.00013605251212333571,-0.00020732117972039403,-6.47838445262774e-05,2.3349149373470823e-05,2.2467912244357338e-05
all_eligible,hippocampus_icv,1.4676049999999998,1.341,0.004707570747012856,0.004600087632334746,0.0048150538616909665,-0.00017139891647178525,-0.0002529729725486245,-8.982486039494602e-05,0.004732893382712404,0.004632911868837981,0.0048328748965868265,-0.00014695751790135073,-0.00022487607766883127,-6.903895813387022e-05,2.5322635699547187e-05,2.4441398570434515e-05
all_eligible,hippocampus_icv,1.4777879999999999,1.341,0.004694892256038267,0.004585994586201999,0.004803789925874535,-0.0001840774074463746,-0.0002726050500424254,-9.554976485032384e-05,0.004722143419361389,0.004620616012769951,0.004823670825952827,-0.00015770748125236498,-0.00024216158660802015,-7.325337589670981e-05,2.7251163323122225e-05,2.6369926194009608e-05
all_eligible,hippocampus_icv,1.487971,1.341,0.004682422984840304,0.0045717804218883855,0.004793065547792223,-0.00019654667864433758,-0.000291880003753784,-0.00010121335353489115,0.004711547378177309,0.0046081874932906355,0.004814907263063982,-0.0001683035224364463,-0.00025913229164628717,-7.747475322660545e-05,2.9124393337004624e-05,2.8243156207891274e-05
all_eligible,hippocampus_icv,1.498154,1.341,0.004670171745247791,0.004557502318286438,0.004782841172209145,-0.00020879791823685026,-0.00031074216912358024,-0.00010685366735012026,0.004701104133671833,0.004595677708486154,0.004806530558857513,-0.00017874676694192137,-0.00027574395155384213,-8.174958233000063e-05,3.093238842404207e-05,3.0051151294928884e-05
