"feature_id","entrez_id","mapping_status"
"2350880","271","unique_entrez_id"
"2350922","2944;2946;2948;2949","ambiguous_multiple_entrez"
"2350952","100859922;2944;2946","ambiguous_multiple_entrez"
"2350981","2944;2946;2948;2949","ambiguous_multiple_entrez"
"2351004","2949","unique_entrez_id"
"2351063","1435","unique_entrez_id"
"2351121","10768","unique_entrez_id"
"2351171","85369","unique_entrez_id"
"2351233","164153","unique_entrez_id"
"2351294","3749","unique_entrez_id"
"2351393","64783","unique_entrez_id"
"2351465","84432","unique_entrez_id"
"2351572","963","unique_entrez_id"
"2351632","10390","unique_entrez_id"
"2351687","1117;79961","ambiguous_multiple_entrez"
"2351763","149620;27159","ambiguous_multiple_entrez"
"2351787","128344","unique_entrez_id"
"2351817","515","unique_entrez_id"
"2351854","128346","unique_entrez_id"
"2351872","5906","unique_entrez_id"
"2351940","11218","unique_entrez_id"
"2352106","55917","unique_entrez_id"
"2352169","7482","unique_entrez_id"
"2352228","829","unique_entrez_id"
"2352275","4343","unique_entrez_id"
"2352338","284467","unique_entrez_id"
"2352501","9860","unique_entrez_id"
"2352609","220988;260425","ambiguous_multiple_entrez"
"2352743","64858","unique_entrez_id"
"2352758","204851","unique_entrez_id"
"2352804","56944","unique_entrez_id"
"2353021","6847","unique_entrez_id"
"2353067","7252","unique_entrez_id"
"2353237","81839","unique_entrez_id"
"2353283","81839","unique_entrez_id"
"2353337","55356","unique_entrez_id"
"2353396","126868","unique_entrez_id"
"2353477","476","unique_entrez_id"
"2353669","914","unique_entrez_id"
"2353717","5738","unique_entrez_id"
"2353749","9398","unique_entrez_id"
"2353773","8458","unique_entrez_id"
"2353881","10905","unique_entrez_id"
"2353988","54855","unique_entrez_id"
"2354082","10885","unique_entrez_id"
"2354365","51179","unique_entrez_id"
"2354433","128102;3283;3284","ambiguous_multiple_entrez"
"2354553","3283","unique_entrez_id"
"2354634","26227","unique_entrez_id"
"2355591","","unmapped_entrez"
"2355615","102724364;9554","ambiguous_multiple_entrez"
"2356100","148738","unique_entrez_id"
"2356115","10628","unique_entrez_id"
"2356142","128077","unique_entrez_id"
"2356181","9939","unique_entrez_id"
"2356205","8799","unique_entrez_id"
"2356218","8515","unique_entrez_id"
"2356273","148741","unique_entrez_id"
"2356300","102466191;10401","ambiguous_multiple_entrez"
"2356344","27246","unique_entrez_id"
"2356425","100034743;5174","ambiguous_multiple_entrez"
"2356658","","unmapped_entrez"
"2356721","9557","unique_entrez_id"
"2356818","607","unique_entrez_id"
"2357193","","unmapped_entrez"
"2357845","100132417;2209;2210","ambiguous_multiple_entrez"
"2357961","51027","unique_entrez_id"
"2357996","11311","unique_entrez_id"
"2358044","51177","unique_entrez_id"
"2358092","23632","unique_entrez_id"
"2358117","79630","unique_entrez_id"
"2358136","148523","unique_entrez_id"
"2358153","54460","unique_entrez_id"
"2358171","9129","unique_entrez_id"
"2358221","23248","unique_entrez_id"
"2358320","80222","unique_entrez_id"
"2358360","1893","unique_entrez_id"
"2358393","54507","unique_entrez_id"
"2358426","54507","unique_entrez_id"
"2358520","9869","unique_entrez_id"
"2358591","8416","unique_entrez_id"
"2358623","58497","unique_entrez_id"
"2358646","149428","unique_entrez_id"
"2358671","54964","unique_entrez_id"
"2358693","10962","unique_entrez_id"
"2358700","126626","unique_entrez_id"
"2358736","100534012;79626","ambiguous_multiple_entrez"
"2358743","100534012;79005","ambiguous_multiple_entrez"
"2358761","206426;266971;8394","ambiguous_multiple_entrez"
"2358821","266971;5710","ambiguous_multiple_entrez"
