"feature_id","log2_fold_change","average_expression","moderated_t","p_value","fdr_bh","B"
"2320068",-0.113454577499031,11.7810788732394,-1.12425381236514,0.262210079650211,0.697631580222505,-5.19145043852069
"2320069",0.0886410359947316,10.9016837558685,0.878805407974261,0.380527863677296,0.760392999522885,-5.4133763307442
"2320070",0.328327801014142,10.4700364788732,2.67819327593918,0.00799782892347548,0.267439990975961,-2.56852245687153
"2320071",0.671114435162762,8.37949319248826,2.08128586937152,0.0386413055842759,0.459042836077331,-3.81956536446708
"2320075",0.109440223104704,8.43794215962441,0.665169880814023,0.506684411820887,0.819323434365968,-5.56259032370265
"2320077",0.255565695411978,5.53533399061033,0.799158927838225,0.425116937299279,0.782007047397706,-5.47380121190834
"2320078",0.386580605160496,7.47352295774648,1.27635232622155,0.20326527063049,0.663055756787449,-5.02700635607234
"2320088",-0.0955850760670272,7.78261403755869,-0.657486762740698,0.511600518752256,0.821464296571331,-5.56719155413289
"2320090",-0.212892848772856,7.76950629107981,-1.48860068712778,0.138118815284967,0.606334822213508,-4.76336555994572
"2320092",-0.0227477386509598,8.13105690140845,-0.15056205553635,0.880468231881452,0.966455369779972,-5.75286688305467
"2320094",0.304332744404209,4.73674352112676,1.41062229240866,0.159861354767116,0.628458938433188,-4.86483227780347
"2320096",0.361603895948512,4.91420549295775,1.44757945782721,0.14925187613316,0.616531492755634,-4.81740842288815
"2320098",-0.110598105129659,4.51905431924883,-0.486196286592687,0.627343800267764,0.874217522807704,-5.65594099870034
"2320100",0.000442232444323842,5.66951751173709,0.00293244612260832,0.9976630821266,0.999315577776452,-5.76315030794615
"2320102",0.138253654264858,3.03738699530516,0.493270022879489,0.622346217606392,0.871711430705187,-5.65280061414288
"2320104",0.0739518171707374,9.03252464788732,0.756811544127574,0.450025077934554,0.792660426972653,-5.50360970818492
"2320106",-0.0561605144760282,7.78572295774648,-0.5601552085776,0.575980528297773,0.852900355948116,-5.62087181730131
"2320108",0.146051283165759,10.9776023474178,1.79843379245528,0.0735682348156224,0.527836488532268,-4.30776505367027
"2320110",0.0744637842963281,5.94810704225352,0.344549130281883,0.730784160686749,0.915758195615005,-5.70929462274302
"2320112",0.211806545594468,2.98473737089202,0.668592462490768,0.504502524844738,0.818346760173976,-5.56052349410562
"2320114",0.0839887618267539,2.54507248826291,0.348385456997494,0.727905805096795,0.914239212063608,-5.70808895251097
"2320116",-0.241834343527026,2.24047288262911,-0.664536100687477,0.507088992604508,0.819435106649889,-5.56297189251097
"2320118",-0.137154485762417,2.87365549295775,-0.307089006877364,0.759085228366759,0.924731831061684,-5.72036666225062
"2320120",0.0413896929496884,2.53589539906103,0.232700104141401,0.816224873269033,0.945326266010244,-5.73858289923298
"2320122",-0.680190758576479,6.52127220657277,-1.96394747803263,0.0508787147635182,0.487370144601548,-4.03038856800721
"2320124",0.237809184991356,11.0295323943662,2.15994546603652,0.0319285454100624,0.434082281050577,-3.67168839244291
"2320126",0.0946784520895854,7.03043633802817,0.764142276460558,0.44565472447042,0.790717357620831,-5.49856478331835
"2320128",0.241640281840806,2.39602089201878,0.819007141981113,0.41372697008527,0.776665732789897,-5.45927562927638
"2320130",0.302691628758145,6.37620122065728,1.18633056745216,0.236855549331893,0.68216616003297,-5.12681359025506
"2320132",0.499427974351057,4.49585924882629,1.48273932796036,0.139668922683557,0.606820255072072,-4.77117788745722
"2320134",0.392751374378388,4.86353211267606,1.35703873395154,0.176251058490633,0.639433562696059,-4.931457735283
"2320136",0.184536316955318,9.52475352112676,1.87950243863956,0.0615838073339594,0.50959442978488,-4.1748390046909
"2320138",0.348938861438496,9.73300657276995,2.09868112023169,0.0370611259509727,0.454965110600591,-3.78731622221106
"2320140",0.337293999508146,3.11498211267606,0.979303072927047,0.328576699764522,0.735116026363454,-5.32901661945843
"2320142",0.0317149488184949,12.7817943661972,0.638473121501702,0.523872956455999,0.827002934705902,-5.57835012407217
"2320144",-0.158131244717833,4.57981267605634,-0.792374554377482,0.42905208878739,0.783178902218434,-5.47868508008505
"2320146",-0.352737247163058,1.54849585915493,-2.0354129012982,0.0430874582437815,0.469503981883106,-3.90337938794488
"2320148",0.142432180319025,8.78361065727699,1.53110052888358,0.127274497220838,0.59622285963569,-4.7058185484933
"2320150",0.00553350398187469,11.0467098591549,0.0751688041194932,0.940153149088878,0.984507784902539,-5.76058993505519
"2320188",-0.0958427572937532,4.82789751173709,-0.973186320311683,0.33159889643165,0.736333931869262,-5.33441021908445
"2320210",-0.00365867829012956,7.82117145539906,-0.0707504931296525,0.943664780440761,0.985203749520816,-5.76088252045108
"2320347",-0.175694429373525,8.52091863849765,-1.84714924336034,0.066155663692679,0.514120641753611,-4.22856534141781
"2320374",-0.163201353793941,7.02499258215962,-2.50484918209414,0.0130231220989058,0.316044035853379,-2.96216298831852
"2320392",-0.0831034556387005,6.14659361502347,-0.914998606223776,0.361259190554488,0.751718287322257,-5.38403730669877
"2320411",-0.246513926763753,7.49916262910798,-2.43044941768325,0.0159338868184559,0.346783330076287,-3.12357085837377
"2320472",0.0881680760529999,9.28904774647887,0.737101602252572,0.461897143693834,0.797812737253863,-5.51693308993072
"2320581",-0.0867830449002511,8.10174755868545,-1.04619417501016,0.296694007857478,0.714813026154877,-5.26786216651055
"2320619",-0.0250361270760457,9.45870079812207,-0.315094063888947,0.753008297662599,0.922908609676542,-5.71810762020138
"2320657",-0.242073936049421,7.51583492957746,-3.02169054768265,0.00283138525186552,0.194573892899713,-1.71692726623114
"2320683",-0.0666950894461031,7.19198741784038,-0.727007411450468,0.468044491680963,0.800724957748303,-5.52362146628578
"2320727",-0.235205156818751,7.27061253521127,-2.25625728525193,0.0251018030777146,0.404011199753804,-3.48354118565246
"2320762",0.163474860567209,8.86790582159624,1.44397669246626,0.150260475303236,0.617773496636016,-4.82208379555437
"2321011",-0.0797525508759493,4.5658196713615,-0.760925537529347,0.447569259089403,0.791431779740794,-5.50078463346032
"2321040",-0.103967266708442,3.23097328638498,-0.442327394438414,0.658715456600395,0.885914603873933,-5.67440598778369
