"go_id","NGenes","full_direction","full_p_value","full_fdr","direction_leave_out_EC","direction_leave_out_FC","direction_leave_out_TC","directionally_stable"
"GO:0060068",10,"Down",0.394944763378427,0.770545745817575,"Down","Down","Down",FALSE
"GO:0044790",11,"Down",0.395636528079497,0.770967733146094,"Down","Down","Down",FALSE
"GO:0006688",17,"Up",0.396240618846327,0.771526204965205,"Up","Up","Up",FALSE
"GO:0001975",31,"Down",0.397762062551046,0.772218636879056,"Down","Down","Down",FALSE
"GO:0007029",29,"Up",0.397867379988715,0.772218636879056,"Up","Down","Up",FALSE
"GO:0030003",14,"Down",0.397274505443311,0.772218636879056,"Down","Down","Down",FALSE
"GO:0051301",290,"Up",0.397572264999286,0.772218636879056,"Up","Down","Up",FALSE
"GO:0045595",24,"Down",0.398346466901563,0.772531456161849,"Down","Down","Down",FALSE
"GO:0006479",15,"Down",0.400474195752942,0.775237442709456,"Down","Down","Down",FALSE
"GO:0007605",128,"Down",0.400703225774921,0.775237442709456,"Down","Down","Down",FALSE
"GO:0032727",23,"Down",0.400823858387425,0.775237442709456,"Down","Down","Down",FALSE
"GO:0048666",42,"Up",0.401303286315551,0.775237442709456,"Up","Up","Up",FALSE
"GO:0050772",24,"Up",0.401535856062782,0.775237442709456,"Up","Up","Up",FALSE
"GO:0071385",22,"Down",0.401655942539591,0.775237442709456,"Down","Down","Down",FALSE
"GO:0046627",35,"Down",0.402021332740235,0.775326855999025,"Down","Down","Down",FALSE
"GO:0071391",16,"Up",0.402865468520456,0.776338690328872,"Up","Up","Up",FALSE
"GO:0016233",11,"Up",0.403685179675163,0.777301891133633,"Up","Up","Up",FALSE
"GO:0008380",142,"Up",0.404076948605818,0.77744020990668,"Up","Down","Up",FALSE
"GO:0000956",16,"Down",0.406557334283513,0.777979509527728,"Down","Down","Up",FALSE
"GO:0001953",15,"Up",0.405210730969703,0.777979509527728,"Up","Up","Up",FALSE
"GO:0003007",34,"Up",0.405341434509455,0.777979509527728,"Up","Up","Up",FALSE
"GO:0006309",11,"Up",0.406598344485685,0.777979509527728,"Up","Up","Up",FALSE
"GO:0032148",15,"Down",0.405316801518223,0.777979509527728,"Down","Down","Down",FALSE
"GO:0045591",11,"Down",0.405688825975706,0.777979509527728,"Down","Down","Down",FALSE
"GO:0097190",53,"Up",0.406254724906205,0.777979509527728,"Up","Up","Up",FALSE
"GO:0051895",14,"Up",0.407065932964406,0.778261382457518,"Up","Up","Up",FALSE
"GO:0001937",30,"Down",0.407960372981225,0.778278375875708,"Down","Down","Down",FALSE
"GO:0060749",14,"Up",0.407909736126488,0.778278375875708,"Up","Up","Up",FALSE
"GO:1903427",12,"Down",0.408035658792449,0.778278375875708,"Down","Down","Down",FALSE
"GO:1903077",20,"Up",0.40874396588715,0.779017911455509,"Up","Up","Up",FALSE
"GO:0030851",10,"Down",0.41139429924952,0.781089764436213,"Down","Down","Down",FALSE
"GO:0034599",81,"Down",0.411438229826482,0.781089764436213,"Down","Down","Down",FALSE
"GO:0038063",10,"Down",0.411121931550222,0.781089764436213,"Down","Down","Down",FALSE
"GO:0043517",10,"Up",0.410598571411449,0.781089764436213,"Up","Up","Up",FALSE
"GO:0060045",21,"Up",0.411121585678732,0.781089764436213,"Up","Up","Up",FALSE
"GO:0002088",40,"Up",0.413106049867084,0.782606553585332,"Up","Up","Up",FALSE
"GO:0035640",18,"Down",0.413087453163383,0.782606553585332,"Down","Down","Down",FALSE
"GO:0042391",65,"Up",0.413525438190768,0.782606553585332,"Up","Up","Up",FALSE
"GO:0046037",10,"Up",0.413454855382932,0.782606553585332,"Up","Up","Up",FALSE
"GO:0002089",12,"Up",0.414995785195821,0.783045275169529,"Up","Up","Up",FALSE
"GO:0019432",11,"Down",0.41430845841574,0.783045275169529,"Down","Down","Down",FALSE
"GO:0043589",11,"Up",0.415690701633207,0.783045275169529,"Up","Up","Up",FALSE
"GO:0048286",36,"Up",0.415632389192074,0.783045275169529,"Up","Up","Up",FALSE
"GO:0061436",23,"Down",0.414916467210427,0.783045275169529,"Down","Up","Down",FALSE
"GO:1902237",10,"Up",0.415219327792532,0.783045275169529,"Up","Up","Up",FALSE
"GO:0071300",63,"Down",0.416125982797661,0.783258046629214,"Down","Down","Down",FALSE
"GO:0051497",25,"Up",0.416629326332519,0.783598500764722,"Up","Up","Up",FALSE
"GO:0010001",22,"Up",0.417682729287605,0.78420478892265,"Up","Up","Up",FALSE
"GO:0043409",33,"Down",0.417887415965545,0.78420478892265,"Down","Down","Down",FALSE
"GO:0046902",10,"Down",0.417919836071947,0.78420478892265,"Down","Down","Down",FALSE
