analysis,term,beta,se,ci_low,ci_high,p_value
sensitivity_90d,apoe4_carrier,-0.007802051656605176,0.349403260703097,-0.6926198587155346,0.6770157554023242,0.9821849994672209
sensitivity_90d,time_years:tau01,0.15529255342360815,0.04206477186650013,0.07284711554737419,0.2377379912998421,0.00022271774809387628
sensitivity_90d,time_years:age10,-0.07858726426337422,0.1501190095091146,-0.37281511629606473,0.21564058776931633,0.6006265234975725
sensitivity_90d,time_years:sex_male,0.15788392353762334,0.1867561751505413,-0.2081514536478918,0.5239193007231385,0.3978867881969843
sensitivity_90d,time_years:education_c,0.047746196159718694,0.045241253785086984,-0.0409250318744882,0.13641742419392558,0.2912568032587376
sensitivity_90d,time_years:apoe4_carrier,-0.033630303362548616,0.19672687548144166,-0.4192078940972701,0.35194728737217285,0.8642637044916541
sensitivity_2_followups,Intercept,1.3465258804328997,0.3469719523565522,0.6664733501685098,2.0265784106972893,0.0001041169768531983
sensitivity_2_followups,time_years,0.3010602457615713,0.16253620850879247,-0.017504869099354614,0.6196253606224973,0.06398767699743649
sensitivity_2_followups,tau01,0.21906156290410975,0.06375709783609457,0.09409994738656778,0.3440231784216517,0.0005906384828400004
sensitivity_2_followups,age10,0.8905958705714129,0.3328013497421014,0.23831721107057569,1.54287453007225,0.007449364799078604
sensitivity_2_followups,sex_male,-0.304990430330454,0.34618955764405007,-0.983509495136645,0.3735286344757371,0.3783218380062485
sensitivity_2_followups,education_c,-0.14345928871500974,0.08789208927918,-0.31572461822818154,0.02880604079816207,0.10263299865885116
sensitivity_2_followups,apoe4_carrier,0.1922088256547606,0.3322458976212684,-0.45898116769410746,0.8433988190036287,0.5629173057523438
sensitivity_2_followups,time_years:tau01,0.14621376519883383,0.033213738861108955,0.08111603323914189,0.21131149715852576,1.0715507582283736e-05
sensitivity_2_followups,time_years:age10,0.11448928860309267,0.1481576696766419,-0.17589440799650757,0.4048729852026929,0.4396685541533115
sensitivity_2_followups,time_years:sex_male,0.2539416802496251,0.18533472287977992,-0.10930770167945508,0.6171910621787053,0.17063114143532265
sensitivity_2_followups,time_years:education_c,0.03784790580996247,0.050546148157224566,-0.0612207241354233,0.13691653575534823,0.45399028137767317
sensitivity_2_followups,time_years:apoe4_carrier,0.17133070409224055,0.20246733803371314,-0.2254979864995339,0.568159394684015,0.39743335096165167
