model,term,beta,se,ci_low,ci_high
gaussian_stage,time_years:age10,-0.002144724466310508,0.1356768981533483,-0.26806655838098215,0.2637771094483611
gaussian_stage,time_years:sex_male,0.04858861200057092,0.14831999370615706,-0.24211323385070443,0.33929045785184625
gaussian_stage,time_years:education_c,0.029891564831986725,0.035926186612629606,-0.04052246703063235,0.1003055966946058
gaussian_stage,time_years:apoe4_carrier,0.08838605860669317,0.1533316448744887,-0.21213844303759022,0.3889105602509766
fractional_logit_original,Intercept,-2.590400919077652,0.1604100569246313,-2.904798853407949,-2.276002984747355
fractional_logit_original,time_years,0.16058164912071024,0.07031641729275202,0.02276400370502682,0.2983992945363937
fractional_logit_original,tau01,0.16467765572012108,0.027263292491957396,0.11124258433590332,0.21811272710433882
fractional_logit_original,age10,0.5527298077621139,0.12281784828316913,0.3120112484683979,0.7934483670558299
fractional_logit_original,sex_male,0.052782820379518966,0.17014640718198462,-0.2806980097960581,0.38626365055509604
fractional_logit_original,education_c,-0.07542225282515015,0.03695220424171347,-0.14784724228827678,-0.002997263362023536
fractional_logit_original,apoe4_carrier,0.07790053924283856,0.1816162777137941,-0.27806082408242233,0.4338619025680995
fractional_logit_original,time_years:tau01,0.027740176615037467,0.013025254837017894,0.002211146245026264,0.05326920698504867
fractional_logit_original,time_years:age10,-0.041090933491638094,0.05643583176045795,-0.1517031311796974,0.06952126419642121
fractional_logit_original,time_years:sex_male,0.04973777673256036,0.07952885530049436,-0.10613591538810596,0.20561146885322668
fractional_logit_original,time_years:education_c,0.025727680281895718,0.019069591442051267,-0.011648032144418001,0.06310339270820944
fractional_logit_original,time_years:apoe4_carrier,0.016044270052579194,0.08553131748896711,-0.1515940317760572,0.1836825718812156
fractional_logit_stage,Intercept,-4.939978224484762,0.2549272590494062,-5.439626470899111,-4.440329978070413
fractional_logit_stage,"C(diagnosis, Treatment(reference=""CN""))[T.Dementia]",3.9060317441699635,0.27965321521355235,3.357921514190572,4.454141974149355
fractional_logit_stage,"C(diagnosis, Treatment(reference=""CN""))[T.MCI]",2.7239333205583285,0.2549381744247665,2.2242636804013958,3.223602960715261
fractional_logit_stage,time_years,0.5152415939061666,0.11761643810546961,0.28471761122956174,0.7457655765827715
fractional_logit_stage,"C(diagnosis, Treatment(reference=""CN""))[T.Dementia]:time_years",-0.36008139109735154,0.13983163544528063,-0.634146360469436,-0.08601642172526708
fractional_logit_stage,"C(diagnosis, Treatment(reference=""CN""))[T.MCI]:time_years",-0.3271168919930193,0.12609302100417094,-0.5742546718630469,-0.07997911212299169
fractional_logit_stage,tau01,0.06347461001326,0.019284503687150723,0.025677677326714707,0.1012715426998053
fractional_logit_stage,age10,0.3129712869388432,0.11270677700329748,0.09207006319879293,0.5338725106788934
fractional_logit_stage,sex_male,-0.17114898511779034,0.13121105224998791,-0.42831792190136986,0.08601995166578921
fractional_logit_stage,education_c,-0.026870473703327888,0.031273033722752856,-0.08816449348723006,0.03442354608057428
fractional_logit_stage,apoe4_carrier,-0.19440539455505776,0.13774079587839433,-0.46437239367859373,0.07556160456847824
fractional_logit_stage,time_years:tau01,0.02973893044543643,0.010257806373700613,0.009633999392597813,0.04984386149827505
fractional_logit_stage,time_years:age10,-0.031143229260138135,0.059834895514163634,-0.1484174694866161,0.08613101096633982
fractional_logit_stage,time_years:sex_male,0.04199883920839487,0.07836895633540061,-0.11160149271498243,0.19559917113177216
fractional_logit_stage,time_years:education_c,0.017061402788684503,0.017982704863621007,-0.018184051088625933,0.05230685666599494
fractional_logit_stage,time_years:apoe4_carrier,0.07374604699406948,0.08363763012675017,-0.09018069580664306,0.237672789794782
